Name                                                                                        Stmts   Miss  Cover
/home/gdub/tmp/metrics/2009-01-13/django/contrib/syndication/feeds                             98     20    80%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/syndication/views                             20      3    85%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/webdesign/__init__                             0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/webdesign/lorem_ipsum                         30     11    63%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/webdesign/models                               0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/webdesign/templatetags/__init__                0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/webdesign/templatetags/webdesign              34     10    71%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/webdesign/tests                                5      2    60%
/home/gdub/tmp/metrics/2009-01-13/django/core/__init__                                          0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/core/cache/__init__                                   26      7    73%
/home/gdub/tmp/metrics/2009-01-13/django/core/cache/backends/__init__                           0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/core/cache/backends/base                              30      7    77%
/home/gdub/tmp/metrics/2009-01-13/django/core/cache/backends/filebased                        115     59    49%
/home/gdub/tmp/metrics/2009-01-13/django/core/cache/backends/locmem                           104     23    78%
/home/gdub/tmp/metrics/2009-01-13/django/core/context_processors                               41     11    73%
/home/gdub/tmp/metrics/2009-01-13/django/core/exceptions                                       18      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/core/files/__init__                                    1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/core/files/base                                      112     37    67%
/home/gdub/tmp/metrics/2009-01-13/django/core/files/images                                     26      3    88%
/home/gdub/tmp/metrics/2009-01-13/django/core/files/locks                                      40     20    50%
/home/gdub/tmp/metrics/2009-01-13/django/core/files/move                                       47     31    34%
/home/gdub/tmp/metrics/2009-01-13/django/core/files/storage                                   121     23    81%
/home/gdub/tmp/metrics/2009-01-13/django/core/files/temp                                       33     27    18%
/home/gdub/tmp/metrics/2009-01-13/django/core/files/uploadedfile                               86     10    88%
/home/gdub/tmp/metrics/2009-01-13/django/core/files/uploadhandler                              87     13    85%
/home/gdub/tmp/metrics/2009-01-13/django/core/handlers/__init__                                 0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/core/handlers/base                                   124     33    73%
/home/gdub/tmp/metrics/2009-01-13/django/core/handlers/modpython                              143     80    44%
/home/gdub/tmp/metrics/2009-01-13/django/core/handlers/wsgi                                   151     47    69%
/home/gdub/tmp/metrics/2009-01-13/django/core/mail                                            220    104    53%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/__init__                             149     75    50%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/base                                 167    103    38%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/color                                 26      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/commands/__init__                      0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/commands/dumpdata                     33      8    76%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/commands/flush                        35      5    86%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/commands/loaddata                    142     28    80%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/commands/syncdb                      103     19    82%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/sql                                  125     81    35%
/home/gdub/tmp/metrics/2009-01-13/django/core/management/validation                           172     14    92%
/home/gdub/tmp/metrics/2009-01-13/django/core/paginator                                        78      3    96%
/home/gdub/tmp/metrics/2009-01-13/django/core/serializers/__init__                             46      9    80%
/home/gdub/tmp/metrics/2009-01-13/django/core/serializers/base                                 73      8    89%
/home/gdub/tmp/metrics/2009-01-13/django/core/serializers/json                                 41      5    88%
/home/gdub/tmp/metrics/2009-01-13/django/core/serializers/python                               57      3    95%
/home/gdub/tmp/metrics/2009-01-13/django/core/serializers/pyyaml                               23      1    96%
/home/gdub/tmp/metrics/2009-01-13/django/core/serializers/xml_serializer                      110     10    91%
/home/gdub/tmp/metrics/2009-01-13/django/core/signals                                           4      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/core/urlresolvers                                    198     23    88%
/home/gdub/tmp/metrics/2009-01-13/django/core/xheaders                                          5      2    60%
/home/gdub/tmp/metrics/2009-01-13/django/db/__init__                                           41     17    59%
/home/gdub/tmp/metrics/2009-01-13/django/db/backends/__init__                                 187     31    83%
/home/gdub/tmp/metrics/2009-01-13/django/db/backends/creation                                 240    107    55%
/home/gdub/tmp/metrics/2009-01-13/django/db/backends/sqlite3/__init__                           0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/db/backends/sqlite3/base                             122     24    80%
/home/gdub/tmp/metrics/2009-01-13/django/db/backends/sqlite3/client                             8      2    75%
/home/gdub/tmp/metrics/2009-01-13/django/db/backends/sqlite3/creation                          35     16    54%
/home/gdub/tmp/metrics/2009-01-13/django/db/backends/sqlite3/introspection                     40     27    33%
/home/gdub/tmp/metrics/2009-01-13/django/db/backends/util                                      82     17    79%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/__init__                                    19      5    74%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/base                                       311     11    96%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/fields/__init__                            583     81    86%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/fields/files                               158      7    96%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/fields/proxy                                 5      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/fields/related                             525     42    92%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/fields/subclassing                          21      2    90%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/loading                                     93     11    88%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/manager                                     98      4    96%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/options                                    294     19    94%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/query                                      495     28    94%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/query_utils                                 35      1    97%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/related                                     30      8    73%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/signals                                      9      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/sql/__init__                                 5      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/sql/constants                               15      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/sql/datastructures                          52     12    77%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/sql/query                                 1065     87    92%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/sql/subqueries                             231     18    92%
/home/gdub/tmp/metrics/2009-01-13/django/db/models/sql/where                                  145     16    89%
/home/gdub/tmp/metrics/2009-01-13/django/db/transaction                                       126     14    89%
/home/gdub/tmp/metrics/2009-01-13/django/dispatch/__init__                                      1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/dispatch/dispatcher                                   84      9    89%
/home/gdub/tmp/metrics/2009-01-13/django/dispatch/saferef                                      79     19    76%
/home/gdub/tmp/metrics/2009-01-13/django/forms/__init__                                         5      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/forms/extras/__init__                                  1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/forms/extras/widgets                                  52      2    96%
/home/gdub/tmp/metrics/2009-01-13/django/forms/fields                                         490     21    96%
/home/gdub/tmp/metrics/2009-01-13/django/forms/forms                                          236      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/forms/formsets                                       171     15    91%
/home/gdub/tmp/metrics/2009-01-13/django/forms/models                                         417     22    95%
/home/gdub/tmp/metrics/2009-01-13/django/forms/util                                            32      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/forms/widgets                                        418     14    97%
/home/gdub/tmp/metrics/2009-01-13/django/http/__init__                                        304     43    86%
/home/gdub/tmp/metrics/2009-01-13/django/http/multipartparser                                 345     34    90%
/home/gdub/tmp/metrics/2009-01-13/django/http/utils                                            36     21    42%
/home/gdub/tmp/metrics/2009-01-13/django/middleware/__init__                                    0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/middleware/cache                                      60     42    30%
/home/gdub/tmp/metrics/2009-01-13/django/middleware/common                                     69     30    57%
/home/gdub/tmp/metrics/2009-01-13/django/middleware/doc                                         8      3    63%
/home/gdub/tmp/metrics/2009-01-13/django/middleware/http                                       23     18    22%
/home/gdub/tmp/metrics/2009-01-13/django/shortcuts/__init__                                    26      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/template/__init__                                    605     92    85%
/home/gdub/tmp/metrics/2009-01-13/django/template/context                                      73     11    85%
/home/gdub/tmp/metrics/2009-01-13/django/template/debug                                        80     25    69%
/home/gdub/tmp/metrics/2009-01-13/django/template/defaultfilters                              519     37    93%
