Name                                                                                                                               Stmts   Miss  Cover
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/middleware                           28      4    86%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/models                               36     17    53%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/tests                                 3      2    33%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sitemaps/__init__                             68     46    32%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sites/__init__                                 0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sites/admin                                    6      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sites/management                              11      1    91%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sites/models                                  50      9    82%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sites/tests                                    0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/syndication/__init__                           0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/syndication/feeds                             99     12    88%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/syndication/views                             20      3    85%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/webdesign/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/webdesign/lorem_ipsum                         30     11    63%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/webdesign/models                               0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/webdesign/templatetags/__init__                0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/webdesign/templatetags/webdesign              34     10    71%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/webdesign/tests                                5      2    60%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/core/__init__                                          0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/core/cache/__init__                                   31      7    77%
